PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
340015,01-JAN-23,31-DEC-23,As Submitted,ROWAN REGIONAL HOSPITAL                 ,612 MOCKSVILLE AVENUE                   ,,SALISBURY                               ,NC                                      ,28144                                   ,ROWAN                                   ,,,,374759,,,.0863,,,181,66065,9530,1599,46598,,1038.87,,1749,343,8712,,,,,3,465,165
340020,01-JAN-23,31-DEC-23,As Submitted,CENTRAL CAROLINA HOSPITAL               ,1135 CARTHAGE STREET                    ,,SANFORD                                 ,NC                                      ,27330                                   ,LEE                                     ,,,,198241,,,.12,,,127,46355,3372,664,10987,,333.86,,780,160,2154,80,,,,,,
340021,01-JAN-23,31-DEC-23,As Submitted,ATRIUM HEALTH CLEVELAND                 ,201 EAST GROVER STREET                  ,,SHELBY                                  ,NC                                      ,28150                                   ,CLEVELAND                               ,,,,706187,,,.1311,,,308,112420,14289,3711,65667,,1596.87,,2429,603,13843,2848,,,,,,
340024,01-OCT-22,30-SEP-23,As Submitted,SAMPSON REGIONAL MEDICAL CENTER         ,607 BEAMAN STREET                       ,258                                     ,CLINTON                                 ,NC                                      ,28328-                                  ,SAMPSON                                 ,613883,,,157444,,,.1641,832602,707169,67,24455,1845,1257,8915,20.84,408.39,,496,235,2411,615,,,,,,
340028,01-OCT-22,30-SEP-23,As Submitted,CAPE FEAR VALLEY MEDICAL CENTER         ,1638 OWEN DRIVE                         ,2000                                    ,FAYETTEVILLE                            ,NC                                      ,28302                                   ,CUMBERLAND                              ,8643645,,,3233657,,,.2202,564433,305285,675,246375,33339,9726,185299,195.78,3803.85,,5701,1848,36046,7974,,,,61,,908
340039,01-OCT-22,30-SEP-23,As Submitted,IREDELL MEMORIAL HOSPITAL               ,557 BROOKDALE DRIVE                     ,1828                                    ,STATESVILLE                             ,NC                                      ,28677-                                  ,IREDELL                                 ,,,,219557,,,.0543,,,155,56575,8668,1159,32676,,1259.62,,1699,307,6759,,,,,,,
340040,01-OCT-22,30-SEP-23,As Submitted,PITT COUNTY MEMORIAL HOSPITAL INC       ,2100 STANTONSBURG ROAD                  ,,GREENVILLE                              ,NC                                      ,27834-2818                              ,PITT                                    ,12485320,,,6338795,,,.2077,16177732,5634548,1013,369745,60179,16523,261560,352.88,6093.02,,9888,2207,37846,,,,64,115,1852,1522
340042,01-OCT-22,30-SEP-23,As Submitted,ONSLOW MEMORIAL HOSPITAL                ,241 NEW RIVER DRIVE                     ,,JACKSONVILLE                            ,NC                                      ,28540                                   ,ONSLOW                                  ,,,,370328,,,.12,,,162,59130,9200,1800,31609,,882.8,,1310,326,6828,,,,,,,
340047,01-JAN-23,31-DEC-23,As Submitted,NORTH CAROLINA BAPTIST HOSPITAL         ,MEDICAL CENTER BLVD                     ,,WINSTON-SALEM                           ,NC                                      ,27157-                                  ,FORSYTH                                 ,17697884,5712794,,3559232,1148903,,.2231,15903794,9954015,813,296745,34529,19695,233814,675.28,8330.7,,5985,2965,43667,,298,,,42,1643,728
340049,01-JAN-23,31-DEC-23,As Submitted,NORTH CAROLINA SPECIALTY HOSPITAL       ,3916 BEN FRANKLIN BLVD                  ,15819                                   ,DURHAM                                  ,NC                                      ,27701                                   ,DURHAM                                  ,,,,,,,,,,18,6570,417,9,1302,,215.44,,179,6,504,3,,,,,,
340051,01-OCT-22,30-JUN-23,As Submitted,WATAUGA MEDICAL CENTER                  ,336 DEERFIELD ROAD                      ,2600                                    ,BOONE                                   ,NC                                      ,28607-                                  ,WATAUGA                                 ,493733,,,189474,,,.0832,285789,411975,121,28613,4588,359,12976,12.69,672.51,,988,108,2973,351,,,,,,
340053,01-JAN-23,31-DEC-23,As Submitted,PRESBYTERIAN HOSPITAL                   ,200 HAWTHORNE LANE                      ,31276                                   ,CHARLOTTE                               ,NC                                      ,28231-1726                              ,MECKLENBURG                             ,,,,2271079,,,.1465,,,580,211700,23628,7780,159767,,4146.52,,4332,992,26872,,,,4,,1363,78
340064,01-JAN-23,31-DEC-23,As Submitted,WRMC HOSPITAL OPERATING CORPORATION     ,1370 WEST D STREET                      ,609                                     ,NORTH WILKESBORO                        ,NC                                      ,28659-                                  ,WILKES                                  ,,,,124078,,,.0765,,,77,28105,3928,1073,16999,,539.02,,821,264,3940,622,,,,,,
340068,01-OCT-22,30-SEP-23,As Submitted,COLUMBUS REGIONAL HEALTHCARE SYSTEM     ,500 JEFFERSON STREET                    ,,WHITEVILLE                              ,NC                                      ,28472-                                  ,COLUMBUS                                ,,,,277267,,,.164,,,154,56210,4066,1065,15309,,468.3,,718,146,3058,732,,,,,,
340069,01-OCT-22,30-SEP-23,As Submitted,WAKEMED RALEIGH CAMPUS                  ,3000 NEW BERN AVENUE                    ,14465                                   ,RALEIGH                                 ,NC                                      ,27620-4465                              ,WAKE                                    ,4011359,,,3249159,,,.1669,2477627,979274,617,216313,35708,17851,206107,71.53,7838,,6261,2874,36785,5573,,,,60,,1475
340070,01-OCT-22,30-SEP-23,As Submitted,ALAMANCE REGIONAL MEDICAL CENTER        ,1240 HUFFMAN MILL ROAD                  ,202                                     ,BURLINGTON                              ,NC                                      ,27215                                   ,ALAMANCE                                ,,,,454983,,,.0941,,,176,64240,8414,2335,48162,,1189.82,,1865,607,10864,1837,,,,,681,
340071,01-OCT-22,30-SEP-23,As Submitted,HARNETT HEALTH SYSTEM                   ,800 TILGHMAN DRIVE                      ,1706                                    ,DUNN                                    ,NC                                      ,28334                                   ,HARNETT                                 ,1425993,,,233159,,,.12,1341682,798975,74,27315,4629,1327,21403,40.01,685.93,,983,371,5362,1097,,,,,,
340084,01-JAN-23,31-DEC-23,As Submitted,ATRIUM HEALTH ANSON                     ,2301 US HIGHWAY 74 WEST                 ,,WADESBORO                               ,NC                                      ,28170-                                  ,ANSON                                   ,,,,10967,,,.0604,,,15,5475,375,66,1400,,135.55,,110,24,497,60,,,,,,
340085,01-JAN-23,31-DEC-23,As Submitted,THOMASVILLE MEDICAL CENTER              ,207 OLD LEXINGTON ROAD                  ,,THOMASVILLE                             ,NC                                      ,27360                                   ,DAVIDSON                                ,,,,124570,,,.12,,,73,26645,1818,452,13233,,692.86,,417,192,3165,581,,,,,591,
340091,01-OCT-22,30-SEP-23,As Submitted,THE MOSES H. CONE MEMORIAL HOSPITAL     ,1200 NORTH ELM ST                       ,,GREENSBORO                              ,NC                                      ,27401-                                  ,GUILFORD                                ,2788651,,,2438881,,,.1406,2256881,1632509,760,277400,28615,9474,203755,60.14,6040,,6118,2597,40939,9030,,,,43,1338,990
340096,01-JAN-23,31-DEC-23,As Submitted,LEXINGTON MEMORIAL HOSPITAL  INC.       ,250 HOSPITAL DRIVE                      ,,LEXINGTON                               ,NC                                      ,27292-                                  ,DAVIDSON                                ,,,,69424,,,.0499,,,70,25550,2572,708,14471,,561.78,,616,139,3464,336,,,,,,
340097,01-OCT-22,30-SEP-23,As Submitted,HUGH CHATHAM MEMORIAL HOSPITAL          ,100 PARKWOOD DRIVE                      ,,ELKIN                                   ,NC                                      ,28621-                                  ,SURRY                                   ,,,,86892,,,.0677,,,81,29565,2618,328,10930,,677.32,,630,105,2647,288,,,,,,
340098,01-JAN-23,31-DEC-23,As Submitted,ATRIUM HEALTH PINEVILLE                 ,10628 PARK ROAD                         ,,CHARLOTTE                               ,NC                                      ,28210-8407                              ,MECKLENBURG                             ,,,,554656,,,.0408,,,352,128480,27938,2864,97996,4.24,1953.93,,5210,462,22752,2919,,,,14,,661
340099,01-OCT-22,30-SEP-23,As Submitted,EAST CAROLINA HEALTH                    ,500 SOUTH ACADEMY STREET                ,,AHOSKIE                                 ,NC                                      ,27910                                   ,HERTFORD                                ,,,,189576,,,.12,,,52,18980,4146,634,14880,,436.92,,784,140,2448,,,,19,,1210,
340107,01-OCT-22,30-SEP-23,As Submitted,EAST CAROLINA HEALTH - HERITAGE INC     ,111 HOSPITAL DRIVE                      ,,TARBORO                                 ,NC                                      ,27886                                   ,EDGECOMBE                               ,,,,378290,,,.2205,,,101,36865,3529,995,11384,,427.67,,718,169,2442,,,,,,,
340109,01-JAN-23,31-DEC-23,As Submitted,SENTARA ALBEMARLE REGL MED CTR LLC      ,1144 NORTH ROAD STREET                  ,,ELIZABETH CITY                          ,NC                                      ,27909                                   ,PASQUOTANK                              ,,,,368653,,,.0802,,,98,35770,8817,865,22317,,603.09,,1890,302,4670,441,,,,,,
340113,01-JAN-23,31-DEC-23,As Submitted,CAROLINAS MEDICAL CENTER                ,1000 BLYTHE BLVD                        ,32861                                   ,CHARLOTTE                               ,NC                                      ,28232                                   ,MECKLENBURG                             ,11275108,,,7775054,,,.231,5558748,3643183,1191,434715,52221,35067,392405,297.45,9713.09,,7926,5088,63690,14857,1892,,32,23,4456,176
340115,01-OCT-22,30-SEP-23,As Submitted,FIRSTHEALTH MOORE REGIONAL HOSPITAL     ,35 MEMORIAL DRIVE                       ,3000                                    ,PINEHURST                               ,NC                                      ,28374-                                  ,MOORE                                   ,,,,1448147,,,.085,,,412,150380,28520,3824,100484,,3159.68,,5985,899,20903,53,,,5,2,1135,252
340116,01-OCT-22,30-SEP-23,As Submitted,FRYE REGIONAL MEDICAL CENTER            ,420 NORTH CENTER STREET                 ,,HICKORY                                 ,NC                                      ,28601                                   ,CATAWBA                                 ,,,,215598,,,.0388,,,226,82490,9037,1531,34715,,1029.12,,1997,267,6455,,,,574,15,9862,319
340119,01-JAN-23,31-DEC-23,As Submitted,ATRIUM HEALTH STANLY                    ,301 YADKIN STREET                       ,,ALBEMARLE                               ,NC                                      ,28001                                   ,STANLY                                  ,,,,157846,,,.0834,,,97,35405,4059,943,15136,,546.34,,905,193,3835,810,,,8,,447,
340120,01-OCT-22,30-SEP-23,As Submitted,DUPLIN GENERAL HOSPITAL INCORPORATED    ,HIGHWAY 11  NORTH MAIN STREET           ,278                                     ,KENANSVILLE                             ,NC                                      ,28349                                   ,DUPLIN                                  ,,,,155400,,,.12,,,49,17885,3246,976,11103,,331.88,,705,248,2551,,,,,,,
340127,01-OCT-22,30-SEP-23,As Submitted,GRANVILLE MEDICAL CENTER                ,1010 COLLEGE STREET                     ,947                                     ,OXFORD                                  ,NC                                      ,27565-                                  ,GRANVILLE                               ,,,,104638,,,.12,,,42,15330,1841,385,6418,,445.69,,377,114,1459,319,,,,,,
340129,01-OCT-22,30-SEP-23,As Submitted,LAKE NORMAN REGIONAL MEDICAL CENTER     ,171 FAIRVIEW RD                         ,3250                                    ,MOORESVILLE                             ,NC                                      ,28117                                   ,IREDELL                                 ,,,,127329,,,.0498,,,123,44895,4047,971,14663,,420.61,,992,411,4062,,,,,,,
340130,01-JAN-23,31-DEC-23,As Submitted,ATRIUM HEALTH UNION                     ,600 HOSPITAL DRIVE                      ,,MONROE                                  ,NC                                      ,28111                                   ,UNION                                   ,328317,,,618717,,,.0981,239990,124069,183,66795,15252,4096,62497,6.5,1371.3,,2791,596,10940,2375,,,,,,
340132,01-NOV-22,31-OCT-23,As Submitted,MARIA PARHAM MEDICAL CENTER             ,566 RUIN CREEK ROAD                     ,59                                      ,HENDERSON                               ,NC                                      ,27536-                                  ,VANCE                                   ,,,,216334,,,.1079,,,111,40515,5088,800,24915,,554.58,,917,190,4214,,,,,13,214,219
340133,01-MAY-23,02-AUG-23,As Submitted,MARTIN GENERAL HOSPITAL                 ,310 SOUTH MCCASKEY RD                   ,,WILLIAMSTON                             ,NC                                      ,27892                                   ,MARTIN                                  ,,,,10913,,,.0742,,,43,4042,260,6,763,,39.46,,67,2,189,13,,,,,,
340141,01-JAN-23,31-DEC-23,As Submitted,NEW HANOVER REGIONAL MEDICAL CENTER     ,2131 S. 17TH ST                         ,9000                                    ,WILMINGTON                              ,NC                                      ,28402                                   ,NEW HANOVER                             ,5991683,,,3832046,,,.1198,1749008,1236936,771,281415,62081,19495,239347,95.18,5596.4,,10620,1524,36815,,,,,29,,890
340142,01-OCT-22,30-SEP-23,As Submitted,CARTERET COUNTY GENERAL HOSPITAL COM    ,3500 ARENDELL STREET                    ,,MOREHEAD CITY                           ,NC                                      ,28557-                                  ,CARTERET                                ,,,,,,,,,,99,36135,9946,311,28723,,957.31,,2015,104,5991,,,,,,,
340144,01-OCT-22,04-MAY-23,As Submitted,DAVIS REGIONAL MEDICAL CENTER           ,218 OLD MOCKSVILLE RD                   ,PO BOX 1823                             ,STATESVILLE                             ,NC                                      ,28625                                   ,IREDELL                                 ,,,,9094,,,.2355,,,16,3456,218,55,2801,,20.22,,20,94,358,,,,196,,470,
340145,01-JAN-23,31-DEC-23,As Submitted,ATRIUM HEALTH LINCOLN                   ,433 MCALISTER ROAD                      ,,LINCOLNTON                              ,NC                                      ,28092                                   ,LINCOLN                                 ,,,,205544,,,.0902,,,101,36865,4784,831,20471,,523.78,,1120,218,5269,996,,,,,,
340148,01-JAN-23,31-DEC-23,As Submitted,MEDICAL PARK HOSPITAL                   ,1950 SOUTH HAWTHORNE ROAD               ,PO BOX:                                 ,WINSTON-SALEM                           ,NC                                      ,27103                                   ,FORSYTH                                 ,,,,,,,,,,22,8030,302,16,1495,,223.04,,112,6,543,,,,,,,
340151,01-OCT-22,30-SEP-23,As Submitted,HALIFAX REGIONAL MEDICAL CENTER INC     ,250 SMITH CHURCH ROAD                   ,1089                                    ,ROANOKE RAPIDS                          ,NC                                      ,27870-                                  ,HALIFAX                                 ,,,,233920,,,.12,,,100,36500,5229,955,17357,,464.88,,871,245,3183,816,89,,4,,178,
340158,01-JAN-23,31-DEC-23,As Submitted,BRUNSWICK MEDICAL CENTER                ,240 HOSPITAL DRIVE NE                   ,,BOLIVIA                                 ,NC                                      ,28422                                   ,BRUNSWICK                               ,,,,201494,,,.0627,,,65,23725,6481,645,17737,,472.24,,1572,165,4435,,,,,,,
340166,01-JAN-23,31-DEC-23,As Submitted,ATRIUM HEALTH UNIVERSITY CITY           ,8800 NORTH TRYON STREET                 ,560727                                  ,CHARLOTTE                               ,NC                                      ,28256-5009                              ,MECKLENBURG                             ,,,,275549,,,.12,,,104,37960,5995,3225,42977,,1100.86,,1015,564,8078,2202,,,,,,
340168,01-JAN-23,31-DEC-23,As Submitted,WILMINGTON TREATMENT CENTER INC         ,2520 TROY DRIVE                         ,,WILMINGTON                              ,NC                                      ,28401                                   ,NEW HANOVER                             ,,,,54568,,,.1104,,,92,33580,1572,,25609,,204.89,,407,,1014,,,,,,,
340171,01-JAN-23,31-DEC-23,As Submitted,PRESBYTERIAN HOSPITAL MATTHEWS          ,1500 MATTHEWS TOWNSHIP PARKWAY          ,3310                                    ,MATTHEWS                                ,NC                                      ,28105                                   ,MECKLENBURG                             ,,,,164352,,,.0331,,,157,57305,11103,921,44284,,830.81,,2168,189,9307,,,,,,,
340173,01-OCT-22,30-SEP-23,As Submitted,WAKE MED CARY HOSPITAL                  ,1900 KILDARE FARM ROAD                  ,,CARY                                    ,NC                                      ,27518                                   ,WAKE                                    ,,,,,,,,,,222,81030,18298,2009,68249,,1204.97,,3086,338,13968,,,,,,,
340183,01-JAN-23,31-DEC-23,As Submitted,PRESBYTERIAN HOSPITAL HUNTERSVILLE      ,10030 GILEAD ROAD                       ,,HUNTERSVILLE                            ,NC                                      ,28078                                   ,MECKLENBURG                             ,883435,,,214194,,,.0476,618380,350562,135,49275,9144,753,36557,9.92,813.42,,2036,170,8402,,,,,,,
340187,01-JAN-23,31-DEC-23,As Submitted,DAVIE MEDICAL CENTER                    ,329 NC HIGHWAY 801 N                    ,,BERMUDA RUN                             ,NC                                      ,27006-7905                              ,DAVIE                                   ,26828,,,,,,,2347,7641,42,15330,1153,93,4511,,410.18,,455,40,1888,1,,,,,,
340188,01-OCT-22,30-SEP-23,As Submitted,CAPE FEAR VALLEY HOKE HOSPITAL          ,210 MEDICAL PAVILION DRIVE              ,,RAEFORD                                 ,NC                                      ,28376                                   ,HOKE                                    ,,,,55848,,,.0916,,,37,13749,1203,304,5373,,284.26,,376,76,1787,171,,,,,,
340190,01-JAN-23,31-DEC-23,As Submitted,NOVANT HEALTH MINT HILL MEDICAL CTR     ,8201 HEALTHCARE LOOP                    ,,CHARLOTTE                               ,NC                                      ,28215-7072                              ,,,,,89273,,,.0866,,,36,13140,1754,231,8756,,342.14,,517,113,2615,,,,,,,
340195,11-AUG-23,31-DEC-23,As Submitted,NOVANT HEALTH BALLANTYNE MEDICAL CTR    ,10905 PROVIDENCE RD W                   ,,CHARLOTTE                               ,NC                                      ,28277                                   ,MECKLENBURG                             ,,,,,,,,,,36,7056,630,8,2705,,155.22,,180,3,794,,,,,,,
341303,01-OCT-22,30-SEP-23,As Submitted,FIRSTHEALTH MONTGOMERY MEMORIAL CAH     ,520 ALLEN STREET                        ,,TROY                                    ,NC                                      ,27371                                   ,MONTGOMERY                              ,,,,,,,,,,3,1095,673,35,2580,,118.59,,50,14,299,,,,,,,
341304,01-OCT-22,30-SEP-23,As Submitted,EAST CAROLINA HEALTH-BERTIE             ,1403 SOUTH KING STREET                  ,,WINDSOR                                 ,NC                                      ,27983                                   ,BERTIE                                  ,,,,,,,,,,6,2190,621,60,1179,,106.71,,155,17,305,10,,,,,,
341307,01-JAN-23,31-DEC-23,As Submitted,PENDER MEMORIAL HOSPITAL                ,507 E. FREMONT ST                       ,,BURGAW                                  ,NC                                      ,28425-                                  ,PENDER                                  ,,,,,,,,,,25,9125,1572,10,4792,,118.57,,45,4,166,,,,,,,
341315,01-OCT-22,30-SEP-23,As Submitted,BLADEN COUNTY HOSPITAL                  ,HIGHWAY 701                             ,398                                     ,ELIZABETHTOWN                           ,NC                                      ,28337                                   ,BLADEN                                  ,,,,,,,,,,25,9125,1868,76,5293,,157.23,,144,21,687,45,,,,,,
341316,01-DEC-22,30-NOV-23,As Submitted,HIGHLANDS CASHIERS HOSPITAL             ,190 HOSPITAL DRIVE - HIGHWAY 64E        ,,HIGHLANDS                               ,NC                                      ,28741                                   ,MACON                                   ,,,,,,,,,,24,8760,2458,24,4554,,83.67,,208,10,608,,,,,,,
341318,01-OCT-22,30-SEP-23,As Submitted,EAST CAROLINA HEALTH - CHOWAN INC       ,211 VIRGINIA AVENUE                     ,,EDENTON                                 ,NC                                      ,27932                                   ,CHOWAN                                  ,,,,,,,,,,25,9125,2264,215,6558,,251.78,,478,60,1483,236,,,,,,
341319,01-NOV-22,31-OCT-23,As Submitted,TRANSYLVANIA COMMUNITY HOSPITAL         ,260 HOSPITAL DRIVE                      ,1116                                    ,BREVARD                                 ,NC                                      ,28712                                   ,TRANSYLVANIA                            ,,,,,,,,,,25,9125,2531,226,6375,,153.64,,630,57,1747,,,,,,,
341320,01-OCT-22,30-SEP-23,As Submitted,ALLEGHANY MEMORIAL HOSPITAL             ,233 DOCTORS STREET                      ,,SPARTA                                  ,NC                                      ,28675                                   ,ALLEGHANY                               ,,,,,,,,,,25,9125,357,9,617,,80.66,,90,4,139,2,,,,,,
341322,01-OCT-22,30-SEP-23,As Submitted,ST LUKES HOSPITAL                       ,220 HOSPITAL DRIVE                      ,,COLUMBUS                                ,NC                                      ,28722-                                  ,POLK                                    ,,,,,,,,,,25,9125,1921,31,3798,,198.39,,274,7,704,37,,,,,,
341323,01-OCT-22,30-JUN-23,As Submitted,CHARLES A. CANNON MEMORIAL HOSPITAL     ,434 HOSPITAL DRIVE                      ,,LINVILLE                                ,NC                                      ,28646-                                  ,AVERY                                   ,,,,,,,,,,23,6279,640,12,1213,,131.06,,93,5,217,,,,,,,
341324,01-OCT-22,30-SEP-23,As Submitted,THE OUTER BANKS HOSPITAL INC            ,4800 S. CROATAN HWY                     ,,NAGS HEAD                               ,NC                                      ,27959                                   ,DARE                                    ,,,,,,,,,,21,7665,1363,95,3335,,324.45,,483,64,1155,115,,,,,,
341325,01-JAN-23,31-DEC-23,As Submitted,ASHE MEMORIAL HOSPITAL                  ,200 HOSPITAL AVENUE                     ,8                                       ,JEFFERSON                               ,NC                                      ,28640                                   ,ASHE                                    ,,,,,,,,,,25,9125,1197,117,3237,,245.56,,322,33,844,,,,,,,
341326,01-NOV-22,31-OCT-23,As Submitted,MH ANGEL MEDICAL CENTER LLLP            ,124 ONE CENTER COURT                    ,,FRANKLIN                                ,NC                                      ,28734                                   ,MACON                                   ,,,,,,,,,,30,10950,2399,129,6424,,179.81,,575,36,1716,,,,,,,
341327,01-OCT-22,30-SEP-23,As Submitted,J ARTHUR DOSHER MEMORIAL HOSPITAL       ,924 HOWE STREET                         ,,SOUTHPORT                               ,NC                                      ,28461-                                  ,BRUNSWICK                               ,,,,,,,,,,25,9125,1401,22,2355,,179.04,,248,5,523,,,,,,,
341329,01-NOV-22,31-OCT-23,As Submitted,BLUE RIDGE REGIONAL HOSPITAL            ,125 HOSPITAL DRIVE                      ,,SPRUCE PINE                             ,NC                                      ,28777                                   ,,,,,,,,,,,25,9125,2020,180,6237,,168.93,,511,180,1582,54,,,,,,
342014,01-OCT-22,30-SEP-23,As Submitted,HIGHSMITH RAINEY MEMORIAL HOSPITAL      ,150 ROBESON STREET                      ,,FAYETTEVILLE                            ,NC                                      ,28301                                   ,CUMBERLAND                              ,,,,,,,,,,66,24090,2838,935,14880,,230.47,,87,28,246,39,,,,,,
342017,01-OCT-22,30-SEP-23,As Submitted,ASHEVILLE SPECIALTY HOSPITAL  LLC       ,428 BILTMORE AVENUE                     ,,ASHEVILLE                               ,NC                                      ,28801                                   ,BUNCOMBE                                ,,,,,,,,,,34,12410,6205,,8751,,89.16,,222,,305,,,,,,,
343025,01-DEC-22,30-NOV-23,As Submitted,CAREPARTNERS REHAB HOSPITAL             ,68 SWEETEN CREEK ROAD                   ,,ASHEVILLE                               ,NC                                      ,28803                                   ,,,,,,,,,,,70,25550,11449,222,20551,,275.56,,870,17,1539,67,,,,,,
343026,01-JAN-23,31-DEC-23,As Submitted,CAROLINAS REHABILITATION                ,1100 BLYTHE BLVD                        ,,CHARLOTTE                               ,NC                                      ,28203-                                  ,MECKLENBURG                             ,,,,,,,,,90548,150,54750,12587,2280,44340,11.13,622.33,,907,130,3174,178,,,,,,
343027,01-OCT-22,30-SEP-23,As Submitted,NOVANT HEALTH REHABILITATION HOSPITA    ,2475 HILLCREST CENTER CIRCLE            ,,WINSTON SALEM                           ,NC                                      ,27103                                   ,FORSYTH                                 ,,,,,,,,,,68,24820,8724,308,20184,,167.18,,667,24,1503,101,,,,,,
344007,01-JAN-23,31-DEC-23,As Submitted,OLD VINEYARD                            ,3637 OLD VINEYARD ROAD                  ,,WINSTON SALEM                           ,NC                                      ,27004                                   ,FORSYTH                                 ,,,,,,,,,,164,59860,3412,33,51726,,265.3,,365,5,6309,,,,,,,
344014,01-JAN-23,31-DEC-23,As Submitted,HOLLY HILLS HOSPITAL                    ,3019 FALSTAFF ROAD                      ,,RALEIGH                                 ,NC                                      ,27610                                   ,WAKE                                    ,,,,,,,,,,296,108040,4786,36,74536,,342.1,,508,5,8672,3595,,,,,,
344029,01-JAN-23,31-DEC-23,As Submitted,GOOD HOPE HOSPITAL INC                  ,410 DENIM DRIVE                         ,,ERWIN                                   ,NC                                      ,28339-2204                              ,HARNETT                                 ,,,,,,,,,,16,5840,162,570,3363,,41.17,,14,43,314,,,,,,,
344030,01-JAN-23,31-DEC-23,As Submitted,STRATEGIC BEHAVIORAL CENTER LELAND      ,2050 MERCANTILE DRIVE                   ,,LELAND                                  ,NC                                      ,28451                                   ,BRUNSWICK                               ,,,,,,,,,,40,14600,1740,,12577,,55.11,,110,478,986,,,,,,,
344032,01-JAN-23,31-DEC-23,As Submitted,TRIANGLE SPRINGS                        ,10901 WORLD TRADE BLVD                  ,,RALEIGH                                 ,NC                                      ,27617                                   ,WAKE                                    ,,,,,,,,,,77,28105,2103,40,25480,,177.18,,200,9,2980,472,,,,,,
344034,01-OCT-22,30-JUN-23,Settled,DOROTHEA DIX BEHAVIORAL HEALTH          ,432 HOSPITAL DRIVE                      ,,LINVILLE                                ,NC                                      ,28646                                   ,AVERY                                   ,,,,,,,,,,37,10101,253,840,4694,,49.11,,29,107,600,,,,,,,
344035,28-DEC-22,31-DEC-23,As Submitted,RALEIGH OAKS BEHAVIORAL HEALTH          ,2050 MERCANTILE DRIVE                   ,,LELAND                                  ,NC                                      ,28451                                   ,BRUNSWICK                               ,,,,,,,,,,56,20440,2789,831,11963,,86.88,,191,7,1302,446,,,,,,
344036,05-MAY-23,30-SEP-23,As Submitted,DAVIS REGIONAL MEDICAL CENTER           ,218 OLD MOCKSVILLE RD                   ,PO BOX 1823                             ,STATESVILLE                             ,NC                                      ,28625                                   ,IREDELL                                 ,,,,,,,,,,17,6258,203,,5517,,27.82,,16,,561,207,,,,,,
350011,01-JAN-23,31-DEC-23,As Submitted,SANFORD MEDICAL CENTER - FARGO          ,801 BROADWAY NORTH                      ,,FARGO                                   ,ND                                      ,58102-3641                              ,CASS                                    ,7987159,,,3457728,,,.1444,821969,849954,493,179945,35347,31254,124489,97.27,6178.28,,7217,4194,23763,,,,248,64,665,386
350019,01-JAN-23,31-DEC-23,As Submitted,ALTRU HEALTH SYSTEM-ALTRU HOSPITAL      ,1200 SOUTH COLUMBIA RD                  ,6002                                    ,GRAND FORKS                             ,ND                                      ,58201-                                  ,GRAND FORKS                             ,2695618,,,1335748,,,.1185,688993,869442,198,81350,18222,5137,51135,28.75,3261.21,,3502,1087,10160,1403,,,,,,
351307,01-OCT-22,30-SEP-23,As Submitted,ST ANDREWS HEALTH CENTER                ,316 OHMER ST                            ,,BOTTINEAU                               ,ND                                      ,58318-                                  ,BOTTINEAU                               ,,,,,,,,,,25,9125,1231,1964,4497,,82.04,,103,1,130,,,,,,,
351309,01-JAN-23,31-DEC-23,As Submitted,SANFORD MAYVILLE                        ,42 6TH AVENUE SE                        ,,MAYVILLE                                ,ND                                      ,58257-                                  ,TRAILL                                  ,,,,,,,,,,25,9125,717,417,1463,,57.33,,88,4,108,,,,,,,
351312,01-JAN-23,31-DEC-23,As Submitted,NORTHWOOD DEACONESS HEALTH CENTER       ,4 N PARK STREET                         ,190                                     ,NORTHWOOD                               ,ND                                      ,58267-                                  ,GRAND FORKS                             ,,,,,,,,,,12,4380,967,90,1689,,50.45,,38,1,54,,,,,,,
351313,01-JAN-23,31-DEC-23,As Submitted,SOUTHWEST HEALTHCARE SERVICES           ,802 3ND STREET NW                       ,,BOWMAN                                  ,ND                                      ,58623-0009                              ,BOWMAN                                  ,,,,,,,,,,35,12775,716,,9811,,83.1,,64,,79,,,,,,,
351316,01-OCT-22,30-SEP-23,As Submitted,PRESENTATION MEDICAL CENTER             ,213 SECOND AVE N.E.                     ,759                                     ,ROLLA                                   ,ND                                      ,58367-                                  ,ROLETTE                                 ,,,,,,,,,,25,9125,550,1024,2464,,136.23,,51,14,76,,,,,,,
